reply_settings,referenced_tweets,id,created_at,text,author_id,source,conversation_id,lang,in_reply_to_user_id,retweetcount,reply_count,like_count,quote_count,reference_type,reference_id,keyword,hashtags,tokens,word_count,sum_like_retweet,sentiment_polarity,sentiment_type
everyone,"{'type': 'retweeted', 'id': '1487184261970948101'}",1487212977270915073,2022-01-28T23:56:19.000Z, truckers freedom rally in vancouver on the 29 th,3692549657,Twitter for iPhone,1487212977270915073,en,,11,0,0,0,retweeted,1487184261970948101,vancouver lang:en,[],"['29', 'freedom', 'on', 'vancouver', 'truckers', 'rally', 'th', 'the', 'in']",9,11,0.0,neutral
everyone,"{'type': 'original', 'id': '1487212916633964557'}",1487212916633964557,2022-01-28T23:56:05.000Z,the burrard chinook seabus has arrived at lonsdale quay north vancouver at 356 pm,554057558,SeaBus Status Updater,1487212916633964557,en,,0,0,0,0,original,1487212916633964557,vancouver lang:en,[],"['burrard', 'at', 'vancouver', 'quay', 'lonsdale', 'north', 'seabus', 'has', 'the', 'chinook', '356', 'arrived', 'pm']",14,0,0.0,neutral
everyone,"{'type': 'original', 'id': '1487212886506176513'}",1487212886506176513,2022-01-28T23:55:57.000Z,too soon get your swimwear at     vancouver british columbia ,33551577,Instagram,1487212886506176513,en,,0,0,0,0,original,1487212886506176513,vancouver lang:en,"['#bikini', '#monokini']","['get', 'at', 'your', 'vancouver', 'soon', 'columbia', 'too', 'swimwear', 'british']",9,0,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487105037734055942'}",1487212881665949697,2022-01-28T23:55:56.000Z,"no tmx and cgl pipelines drop all charges against all land defenders 

light sign display  banner action 4pm today at b",206053180,Twitter for Android,1487212881665949697,en,,36,0,0,0,retweeted,1487105037734055942,vancouver lang:en,[],"['land', 'tmx', 'and', '4pm', 'display', 'light', 'today', 'defenders', 'drop', 'sign', 'b', 'no', 'against', 'banner', 'cgl', 'charges', 'at', 'all', 'pipelines', 'action']",21,36,0.25,positive
everyone,"{'type': 'original', 'id': '1487212839370731522'}",1487212839370731522,2022-01-28T23:55:46.000Z,just posted a photo  vancouver  unceeded musqueam squamish and tsleilwaututh territory ,1855829461,Instagram,1487212839370731522,en,,0,0,0,0,original,1487212839370731522,vancouver lang:en,[],"['unceeded', 'tsleilwaututh', 'musqueam', 'vancouver', 'just', 'squamish', 'and', 'photo', 'a', 'territory', 'posted']",11,0,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487184261970948101'}",1487212826167029764,2022-01-28T23:55:43.000Z, truckers freedom rally in vancouver on the 29 th,3308781515,Twitter for iPad,1487212826167029764,en,,11,0,0,0,retweeted,1487184261970948101,vancouver lang:en,[],"['29', 'freedom', 'on', 'vancouver', 'truckers', 'rally', 'th', 'the', 'in']",9,11,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487206500225282053'}",1487212800929763328,2022-01-28T23:55:37.000Z,another nice view from the office          ,17653861,Twitter for iPhone,1487212800929763328,en,,30,0,0,0,retweeted,1487206500225282053,vancouver lang:en,"['#vancouver', '#vancity', '#yvr', '#canada', '#helicopterlife']","['office', 'from', 'nice', 'another', 'the', 'view']",6,30,0.6,positive
everyone,"{'type': 'original', 'id': '1487212787730239488'}",1487212787730239488,2022-01-28T23:55:34.000Z,city of vancouver creates chief safety officer position after employee killed in accident  via ,3233133678,Twitter for iPhone,1487212787730239488,en,,0,0,0,0,original,1487212787730239488,vancouver lang:en,[],"['after', 'creates', 'safety', 'position', 'employee', 'of', 'killed', 'accident', 'vancouver', 'city', 'chief', 'officer', 'in', 'via']",14,0,-0.2,negative
everyone,"{'type': 'retweeted', 'id': '1487183703847710727'}",1487212780574986242,2022-01-28T23:55:32.000Z,im a working musician and model in vancouver bc learn all about anna katarina also known as chontelle over on ,1211004420797816832,Twitter for iPhone,1487212780574986242,en,,15,0,0,0,retweeted,1487183703847710727,vancouver lang:en,[],"['and', 'anna', 'a', 'learn', 'musician', 'bc', 'in', 'im', 'katarina', 'also', 'known', 'about', 'on', 'working', 'as', 'over', 'vancouver', 'all', 'chontelle', 'model']",20,15,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487060931238678533'}",1487212750288072704,2022-01-28T23:55:25.000Z,"an entire city heated by  mining  

in a world first north vancouvers energy utility company announced it",2842766336,Twitter Web App,1487212750288072704,en,,283,0,0,0,retweeted,1487060931238678533,vancouver lang:en,['#bitcoin'],"['entire', 'heated', 'utility', 'mining', 'first', 'it', 'announced', 'city', 'by', 'north', 'a', 'an', 'vancouvers', 'energy', 'in', 'world', 'company']",17,283,0.125,positive
everyone,"{'type': 'retweeted', 'id': '883869871917776900'}",1487212748819730432,2022-01-28T23:55:25.000Z,fun times up here in vancouver for the   pretty hyped on this little line ,1415134534861869058,Twitter for iPhone,1487212748819730432,en,,110,0,0,0,retweeted,883869871917776900,vancouver lang:en,[],"['pretty', 'on', 'vancouver', 'fun', 'for', 'here', 'little', 'line', 'hyped', 'this', 'up', 'times', 'the', 'in']",14,110,0.12083333333333335,positive
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487212703441723393,2022-01-28T23:55:14.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",505589649,Twitter Web App,1487212703441723393,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487212664799514629,2022-01-28T23:55:05.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",569989462,Twitter for Android,1487212664799514629,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'original', 'id': '1487212660512931849'}",1487212660512931849,2022-01-28T23:55:03.000Z,"with unique offers ranging from a curated wellness escape to a helicopter adventure shangrila vancouver has the perfect getaway experience for everyone learn about our current offers   

    ",289430805,Sprout Social,1487212660512931849,en,,0,0,3,0,original,1487212660512931849,vancouver lang:en,"['#shangrilavan', '#beautifuldestinations', '#veryvancouver', '#explorepnw']","['ranging', 'to', 'wellness', 'our', 'offers', 'a', 'learn', 'getaway', 'with', 'curated', 'has', 'shangrila', 'helicopter', 'the', 'experience', 'unique', 'escape', 'perfect', 'about', 'from', 'current', 'everyone', 'vancouver', 'for', 'adventure']",27,3,0.31500000000000006,positive
everyone,"{'type': 'replied_to', 'id': '1487193619127623683'}",1487212624517349379,2022-01-28T23:54:55.000Z,  its like zoolander wearing vancouver barge colours ,204900718,Twitter for Android,1487193619127623683,en,121881752.0,0,0,6,0,replied_to,1487193619127623683,vancouver lang:en,[],"['barge', 'colours', 'zoolander', 'wearing', 'vancouver', 'its', 'like']",7,6,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1485327959305056256'}",1487212546599923729,2022-01-28T23:54:36.000Z,every overpass from vancouver to chilliwack        ,1268074255,Twitter Web App,1487212546599923729,en,,120,0,0,0,retweeted,1485327959305056256,vancouver lang:en,"['#canada', '#freedom', '#freedomconvoy', '#truckers', '#truckerconvoy']","['to', 'overpass', 'vancouver', 'from', 'every', 'chilliwack']",6,120,0.0,neutral
everyone,"{'type': 'replied_to', 'id': '1487203241620353032'}",1487212524965662724,2022-01-28T23:54:31.000Z, really vancouver sun really domestic terrorists get their own bios now,973662156112777216,Twitter for Android,1487203241620353032,en,12089642.0,0,0,0,0,replied_to,1487203241620353032,vancouver lang:en,[],"['sun', 'domestic', 'get', 'really', 'vancouver', 'terrorists', 'their', 'own', 'now', 'bios']",11,0,0.26666666666666666,positive
everyone,"{'type': 'original', 'id': '1487212519970066434'}",1487212519970066434,2022-01-28T23:54:30.000Z,"just listed by westbank pacific realty corp
1498800 condo 3 bd 2 ba 959 sqft built 2021
2301 5058 joyce street  bc collingwood ve
",2336006239,Twitter,1487212519970066434,en,,0,0,0,0,original,1487212519970066434,vancouver lang:en,['#vancouver'],"['2', 'listed', 'bd', 'by', '959', 'pacific', 'bc', 'joyce', 'condo', 'just', '1498800', 'sqft', 'street', '2301', 'corp', '3', 'collingwood', 'realty', 've', '5058', 'built', '2021', 'westbank', 'ba']",24,0,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487176941383733250'}",1487212508419133445,2022-01-28T23:54:27.000Z,is bidens director of national intelligence dni avril haines hiding maximus mkultra and trudeaus fmep child abuse di,1062752986366205952,Twitter Web App,1487212508419133445,en,,10,0,0,0,retweeted,1487176941383733250,vancouver lang:en,[],"['mkultra', 'child', 'of', 'hiding', 'haines', 'and', 'is', 'bidens', 'trudeaus', 'fmep', 'abuse', 'di', 'national', 'maximus', 'dni', 'avril', 'intelligence', 'director']",18,10,0.0,neutral
everyone,"{'type': 'original', 'id': '1487212459626676224'}",1487212459626676224,2022-01-28T23:54:16.000Z,live at end the mandates rally in vancouver wa with joe kent  via ,1309347643781451778,Twitter Web App,1487212459626676224,en,,0,0,0,0,original,1487212459626676224,vancouver lang:en,[],"['at', 'mandates', 'vancouver', 'end', 'live', 'wa', 'rally', 'with', 'kent', 'the', 'in', 'joe', 'via']",13,0,0.13636363636363635,positive
everyone,"{'type': 'retweeted', 'id': '1487206500225282053'}",1487212456237690880,2022-01-28T23:54:15.000Z,another nice view from the office          ,1094246673201618945,Twitter for iPhone,1487212456237690880,en,,30,0,0,0,retweeted,1487206500225282053,vancouver lang:en,"['#vancouver', '#vancity', '#yvr', '#canada', '#helicopterlife']","['office', 'from', 'nice', 'another', 'the', 'view']",6,30,0.6,positive
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487212450017591299,2022-01-28T23:54:13.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",981487346460831744,Twitter for Android,1487212450017591299,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'replied_to', 'id': '1487211387621294080'}",1487212417121611779,2022-01-28T23:54:05.000Z, hey vancouver you up,634006196,Twitter Web App,1487211387621294080,en,19326539.0,0,1,2,0,replied_to,1487211387621294080,vancouver lang:en,[],"['hey', 'vancouver', 'up', 'you']",4,2,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487212366190284805,2022-01-28T23:53:53.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",1089741360725479424,Twitter for iPhone,1487212366190284805,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487184261970948101'}",1487212357138796544,2022-01-28T23:53:51.000Z, truckers freedom rally in vancouver on the 29 th,1425657767658881029,Twitter for iPhone,1487212357138796544,en,,11,0,0,0,retweeted,1487184261970948101,vancouver lang:en,[],"['29', 'freedom', 'on', 'vancouver', 'truckers', 'rally', 'th', 'the', 'in']",9,11,0.0,neutral
